Date,Temperature,Humidity,Condition
2025-07-12 09:00:00,35.78,55,Clouds
2025-07-12 12:00:00,36.79,44,Clouds
2025-07-12 15:00:00,35.59,42,Clouds
2025-07-12 18:00:00,32.57,43,Rain
2025-07-12 21:00:00,34.02,49,Clouds
2025-07-13 00:00:00,32.88,52,Clouds
2025-07-13 03:00:00,34.58,47,Clouds
2025-07-13 06:00:00,38.06,37,Clouds
2025-07-13 09:00:00,37.58,37,Rain
2025-07-13 12:00:00,37.46,37,Rain
2025-07-13 15:00:00,30.84,64,Rain
2025-07-13 18:00:00,30.92,54,Rain
2025-07-13 21:00:00,30.15,56,Rain
2025-07-14 00:00:00,29.31,65,Rain
2025-07-14 03:00:00,30.18,63,Rain
2025-07-14 06:00:00,28.02,72,Rain
2025-07-14 09:00:00,31.98,54,Rain
2025-07-14 12:00:00,33.27,50,Rain
2025-07-14 15:00:00,31.05,61,Rain
2025-07-14 18:00:00,28.59,72,Rain
2025-07-14 21:00:00,27.67,70,Rain
2025-07-15 00:00:00,27.27,81,Rain
2025-07-15 03:00:00,27.38,82,Rain
2025-07-15 06:00:00,31.29,65,Rain
2025-07-15 09:00:00,34.27,52,Rain
2025-07-15 12:00:00,34.11,52,Rain
2025-07-15 15:00:00,32.89,55,Rain
2025-07-15 18:00:00,32.14,59,Clouds
2025-07-15 21:00:00,31.45,62,Clouds
2025-07-16 00:00:00,30.29,67,Clouds
2025-07-16 03:00:00,31.3,63,Rain
2025-07-16 06:00:00,35.04,48,Clouds
2025-07-16 09:00:00,36.13,45,Rain
2025-07-16 12:00:00,34.12,52,Rain
2025-07-16 15:00:00,31.99,61,Clouds
2025-07-16 18:00:00,30.14,70,Rain
2025-07-16 21:00:00,29.44,73,Clouds
2025-07-17 00:00:00,28.03,80,Rain
2025-07-17 03:00:00,27.59,83,Rain
2025-07-17 06:00:00,28.67,77,Rain
