Date,Temperature,Humidity,Condition
2025-07-12 09:00:00,20.33,68,Clear
2025-07-12 12:00:00,25.36,46,Clear
2025-07-12 15:00:00,30.29,29,Clouds
2025-07-12 18:00:00,24.95,37,Clouds
2025-07-12 21:00:00,21.3,46,Clouds
2025-07-13 00:00:00,19.32,57,Clouds
2025-07-13 03:00:00,17.38,66,Clear
2025-07-13 06:00:00,17.69,66,Clear
2025-07-13 09:00:00,22.82,53,Clear
2025-07-13 12:00:00,26.22,45,Clouds
2025-07-13 15:00:00,27.55,41,Clouds
2025-07-13 18:00:00,25.56,46,Rain
2025-07-13 21:00:00,22.2,61,Rain
2025-07-14 00:00:00,20.8,51,Clouds
2025-07-14 03:00:00,18.62,59,Clouds
2025-07-14 06:00:00,19.38,60,Clouds
2025-07-14 09:00:00,24.07,45,Clear
2025-07-14 12:00:00,25.11,39,Clouds
2025-07-14 15:00:00,26.31,33,Clouds
2025-07-14 18:00:00,23.92,38,Clouds
2025-07-14 21:00:00,19.7,44,Clouds
2025-07-15 00:00:00,16.76,57,Clouds
2025-07-15 03:00:00,14.66,68,Clear
2025-07-15 06:00:00,14.88,67,Clear
2025-07-15 09:00:00,20.11,41,Clear
2025-07-15 12:00:00,21.42,36,Clouds
2025-07-15 15:00:00,21.0,43,Clouds
2025-07-15 18:00:00,20.63,46,Clouds
2025-07-15 21:00:00,19.57,49,Clouds
2025-07-16 00:00:00,17.9,59,Clouds
2025-07-16 03:00:00,17.09,85,Clouds
2025-07-16 06:00:00,16.95,93,Rain
2025-07-16 09:00:00,19.67,83,Rain
2025-07-16 12:00:00,18.69,93,Rain
2025-07-16 15:00:00,19.67,90,Rain
2025-07-16 18:00:00,19.55,91,Rain
2025-07-16 21:00:00,19.01,92,Rain
2025-07-17 00:00:00,18.39,94,Rain
2025-07-17 03:00:00,18.12,93,Clouds
2025-07-17 06:00:00,18.53,91,Clouds
