Date,Temperature,Humidity,Condition
2025-07-12 09:00:00,23.19,86,Clouds
2025-07-12 12:00:00,23.68,79,Clouds
2025-07-12 15:00:00,26.95,56,Clouds
2025-07-12 18:00:00,28.55,55,Clouds
2025-07-12 21:00:00,27.49,58,Clouds
2025-07-13 00:00:00,24.7,73,Clouds
2025-07-13 03:00:00,23.39,83,Clouds
2025-07-13 06:00:00,22.88,85,Clouds
2025-07-13 09:00:00,22.54,87,Clouds
2025-07-13 12:00:00,23.61,79,Clouds
2025-07-13 15:00:00,27.07,63,Clouds
2025-07-13 18:00:00,27.84,61,Clouds
2025-07-13 21:00:00,27.22,64,Clouds
2025-07-14 00:00:00,24.97,76,Clouds
2025-07-14 03:00:00,24.1,85,Clouds
2025-07-14 06:00:00,24.1,86,Clouds
2025-07-14 09:00:00,23.31,90,Clouds
2025-07-14 12:00:00,24.6,80,Clouds
2025-07-14 15:00:00,27.6,64,Clouds
2025-07-14 18:00:00,28.28,66,Rain
2025-07-14 21:00:00,27.07,72,Rain
2025-07-15 00:00:00,25.37,81,Rain
2025-07-15 03:00:00,24.92,89,Rain
2025-07-15 06:00:00,24.42,90,Clear
2025-07-15 09:00:00,23.81,92,Rain
2025-07-15 12:00:00,25.97,79,Clear
2025-07-15 15:00:00,30.8,57,Clouds
2025-07-15 18:00:00,32.03,50,Clouds
2025-07-15 21:00:00,30.85,57,Clouds
2025-07-16 00:00:00,29.96,62,Clouds
2025-07-16 03:00:00,27.9,73,Clouds
2025-07-16 06:00:00,26.54,79,Clouds
2025-07-16 09:00:00,24.82,89,Rain
2025-07-16 12:00:00,26.33,81,Clouds
2025-07-16 15:00:00,30.2,60,Clouds
2025-07-16 18:00:00,32.09,53,Rain
2025-07-16 21:00:00,31.62,57,Clouds
2025-07-17 00:00:00,28.92,70,Rain
2025-07-17 03:00:00,26.89,79,Rain
2025-07-17 06:00:00,24.99,87,Rain
